ISO code,Country and areas,Survey year,Year*,United Nations Region,United Nations Sub-Region,SDG Region,UNICEF Region,UNICEF Sub-Region,WHO Region,World Bank Income Classification,World Bank Region,LDC,LIFD,LLDC or SIDS,UNICEF Survey ID,WHO Global Database Number,Type of Estimate,WHZ Survey Sample (N),Severe Wasting,Severe Wasting Footnote,Wasting,Wasting Footnote,Overweight,Overweight Footnote,HAZ Survey Sample (N),Stunting,Stunting Footnote,WAZ Survey Sample (N),Underweight,Underweight Footnote,Fieldwork period,Report Author,Source,Short Source,U5 Population ('000s)
AFG,AFGHANISTAN,1997,1997,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,EMRO,Low Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),Landlocked developing countries (LLDCs),1,01900,Adjusted,4846.0,,,17.3,b,6.5,cw 20,4846.0,53.2,cw 20,4846.0,44.9,c,"January,1997-May,1997",CIET International,"Afghanistan 1997 multiple indicator baseline (MICS). Report to UNICEF. Communitiy Information and Epidemiological Technologies Firm (CIET) International, 1998.",MICS,3706.024902
AFG,AFGHANISTAN,2004,2004,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,EMRO,Low Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),Landlocked developing countries (LLDCs),2,02819,External Reanalysis,946.0,3.8,b,9.1,b,4.6,w 21,946.0,59.3,w 21,,31.7,b,"May,2004-June,2004","Ministry of Public Health (Afghanistan), UNICEF, CDC, National Institute for Research on Food and Nutrition (Italy), Tufts University.","Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005.",NNS,4705.370117
AFG,AFGHANISTAN,2013,2013,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,EMRO,Low Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),Landlocked developing countries (LLDCs),3,03292,Reanalyzed,4247295.0,4.0,rs,9.5,rs,5.3,rs,4225047.5,40.4,r,4426469.0,24.6,s,"May,2013-October,2013","Ministry of Public Health, UNICEF and the Aga Khan University (AKU).",Afghanistan National Nutrition Survey 2013,NNS,5433.032227
AFG,AFGHANISTAN,2018,2018,Asia,Southern Asia,Central Asia and Southern Asia,SA,SA,EMRO,Low Income,South Asia,Least Developed Countries (LDCs),Low Income Food Deficient (LIFD),Landlocked developing countries (LLDCs),3076,03376,Reanalyzed,19692.4,1.6,rs,5.1,rs,4.1,rs,19145.3,38.2,r,19539.2,19.1,s,"March,2018-November,2018",KIT Royal Tropical Institute,Afghanistan Health Survey 2018,Other,6147.35498
ALB,ALBANIA,2005,2005,Europe,Southern Europe,Northern America and Europe,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,,6,02879,Reanalyzed,1075.3,3.7,,7.3,,24.8,,1080.4,26.7,,1090.2,6.6,,"October,2005-November,2005",Albanian National Institute of Statistics.,"Albania multiple indicator cluster survey 2005, final report. Tirana, Albania: Albanian National Institute of Statistics, 2008",MICS,214.8720093
ALB,ALBANIA,2008-09,2009,Europe,Southern Europe,Northern America and Europe,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,,7,03062,Reanalyzed,1335.4,5.9,,9.6,,23.2,,1428.0,23.2,,1489.3,6.3,,"October,2008-April,2009","Institute of Statistics, Institute of Public Health [Albania] and ICF Macro.","Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana, Albania: Institute of Statistics, Institute of Public Health and ICF Macro, 2010",DHS,176.2519989
ALB,ALBANIA,2017-18,2017,Europe,Southern Europe,Northern America and Europe,ECA,EECA,EURO,Upper Middle Income,Europe & Central Asia,,,,2606,03358,Reanalyzed,2299.0,0.5,,1.6,,16.4,,2322.0,11.3,,2366.7,1.5,,"September,2017-February,2018","Institute of Statistics, Institute of Public Health, and ICF","Albania Demographic and Health Survey 2017-18. Tirana, Albania: Institute of Statistics, Institute of Public Health, and ICF",DHS,162.0059967
DZA,ALGERIA,1987,1987,Africa,Northern Africa,Western Asia and Northern Africa,MENA,MENA,AFRO,Lower Middle Income,Middle East & North Africa,,,,8,00371,Adjusted,2344.0,,,4.0,c,,,2344.0,16.9,c,2344.0,8.0,c,,"Kellou K;  Institut National de Santé Publique, Algiers",Etat nutritionnel des enfants algériens de 0 à 10 ans et niveaux d'urbanisation d'après les résultats préliminaires de l'enquête épidémiologique sur la malnutrition protéino-énérgétique en 1987,Other,3965.146973
DZA,ALGERIA,1992,1992,Africa,Northern Africa,Western Asia and Northern Africa,MENA,MENA,AFRO,Lower Middle Income,Middle East & North Africa,,,,9,00750,Reanalyzed,4436.0,3.0,r,7.1,r,8.7,r,4538.3,22.9,pr,4629.0,9.2,p,"June,1992-July,1992",République Algérienne démocratique et populaire.,"Enquête Algérienne sur la santé de la mère et de l'enfant. Office national des statistiques. PAPCHILD surveys. Cairo: Ligue des Etats Arabes, 1992",PAPFAM,3825.153076
DZA,ALGERIA,1995,1995,Africa,Northern Africa,Western Asia and Northern Africa,MENA,MENA,AFRO,Lower Middle Income,Middle East & North Africa,,,,10,01651,Reanalyzed,3295.0,4.2,,9.6,,13.3,,3422.0,22.6,,3823.0,11.3,,"October,1995-October,1995",Ministère de la Santé et de la Population.,"Enquête nationale sur les objectifs de la mi-decennie, ""MDG Algerie"", 1995. Alger, Algerie, 1996",MICS,3698.301025
DZA,ALGERIA,2000,2000,Africa,Northern Africa,Western Asia and Northern Africa,MENA,MENA,AFRO,Lower Middle Income,Middle East & North Africa,,,,11,02226,Reanalyzed,4112.6,1.1,,3.1,,14.7,,4153.6,23.6,p,4177.9,5.4,p,"May,2000-June,2000",Minstère de la Santé et de la Population.,"Enquête nationale sur les objectives de la fin décennie santé mère et enfant EDG Algérie 2000 (MICS). Institut National de Santé Publique. République Algérienne Démocratique et Populaire, 2001",MICS,3046.527832
DZA,ALGERIA,2002,2002,Africa,Northern Africa,Western Asia and Northern Africa,MENA,MENA,AFRO,Lower Middle Income,Middle East & North Africa,,,,12,02644,Reanalyzed,4130.8,5.0,r,9.6,r,15.1,r,4215.8,24.0,r,4356.9,11.1,,"September,2002-November,2002","Ministère de la Santé, de la Population et de la Réforme Hospitalière et l'Office National des Statistiques.","Enquête Algérienne sur la santé de la famille-2002: Rapport principal. Alger, Algérie: Agence Nationale de la Documentation en Santé, 2004",PAPFAM,2925.094238
DZA,ALGERIA,2006,2006,Africa,Northern Africa,Western Asia and Northern Africa,MENA,MENA,AFRO,Lower Middle Income,Middle East & North Africa,,,,13,02965,Reanalyzed,13648.6,1.7,,4.1,,12.9,,13704.5,15.4,,13884.7,3.4,,"March,2006-June,2006","Ministère de la Santé de la Population et de la Réforme Hospitalière, Office National des Statistiques.","Suivi de la situation des enfant et des femmes. Enquête nationale à indicateurs multiples: Rapport principal. MICS3. République Algérienne Démocratique et Populaire, Décembre 2008",MICS,3176.887939
DZA,ALGERIA,2012-13,2012,Africa,Northern Africa,Western Asia and Northern Africa,MENA,MENA,AFRO,Lower Middle Income,Middle East & North Africa,,,,14,03261,Reanalyzed,13668.5,1.4,,4.1,,12.4,,13736.0,11.7,,13859.6,3.0,,"October,2012-March,2013","Ministère de la Santé, de la Population et de la Réforme Hospitalière.","République Algérienne Démocratiqe et Populaire enquête par grappes à indicateurs mulitples (MICS) 2012-2013. Rapport final. Ministère de la Santé, de la Population et de la Réforme Hospitalière, 2015.",MICS,4187.761719
DZA,ALGERIA,2018-19,2019,Africa,Northern Africa,Western Asia and Northern Africa,MENA,MENA,AFRO,Lower Middle Income,Middle East & North Africa,,,,2281,03448,Reanalyzed,13928.1,1.3,,2.7,,12.8,,14001.9,9.8,,14273.4,2.7,,"December,2018-April,2019","Ministère de la Santé, de la Population et de la Réforme Hospitalière",Enquête par grappes à indicateurs multiples [MICS] 2019,MICS,4922.010742
AGO,ANGOLA,1996,1996,Africa,Middle Africa,Sub-Saharan Africa,SSA,ESA,AFRO,Lower Middle Income,Sub-Saharan Africa,Least Developed Countries (LDCs),,,15,02083,Reanalyzed,1562.9,1.8,rs,7.7,rs,1.7,rs,1500.6,61.1,r,1533.8,36.2,s,"August,1996-December,1996",Instituto Nacional de Estatistica - Gabinete de Monitorizaçao das Condiçoes de Vida da Populaçao,"Inquerito de indicadores multiplos (MICS) 1996. Luanda, Angola, 1999",MICS,2748.418945
AGO,ANGOLA,2007,2007,Africa,Middle Africa,Sub-Saharan Africa,SSA,ESA,AFRO,Lower Middle Income,Sub-Saharan Africa,Least Developed Countries (LDCs),,,16,03086,Reported,,4.5,b,8.3,b,,,10224.0,29.2,w 21,,15.1,b,,Ministerio da Saude,Relatorio do Inquerito sobre a Nutriçao em Angola 2007,NNS,3932.337891
AGO,ANGOLA,2015-16,2015,Africa,Middle Africa,Sub-Saharan Africa,SSA,ESA,AFRO,Lower Middle Income,Sub-Saharan Africa,Least Developed Countries (LDCs),,,826,03293,Reanalyzed,7520.9,1.1,,4.9,,3.4,,7386.4,37.6,,7467.9,19.0,,"October,2015-March,2016","Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN) and ICF International.","Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN e ICF International.",DHS,5158.467773
