,Food_Production,GDP_PC,Gini,Mort_Infant,Mort_Maternal,Mort_Under5,Poverty,Prenatal,Primary_School,Rural,Stunting,Underweight,Unemployment,Wasting
BOL,"{'2010': 78.67, '2011': 80.5, '2012': 89.26, '2013': 93.43, '2014': 96.04, '2015': 101.79, '2016': 102.17, '2017': 101.63, '2018': 109.51, '2019': 109.9, '2020': 109.48}","{'2010': 1929.78373077158, '2011': 2315.52121930607, '2012': 2575.59857098084, '2013': 2870.02377000756, '2014': 3041.43503118107, '2015': 2996.01289804214, '2016': 3035.8734778704, '2017': 3306.30301176558, '2018': 3500.72642189371, '2019': 3503.8960106182, '2020': 3099.94219044572}","{'2010': nan, '2011': 46.1, '2012': 46.6, '2013': 47.6, '2014': 47.8, '2015': 46.7, '2016': 45.2, '2017': 44.6, '2018': 42.6, '2019': 41.6, '2020': 43.6}","{'2010': 33.3, '2011': 31.6, '2012': 30.0, '2013': 28.5, '2014': 27.0, '2015': 25.8, '2016': 24.7, '2017': 23.6, '2018': 22.7, '2019': 21.8, '2020': 21.0}","{'2010': 184.0, '2011': 178.0, '2012': 179.0, '2013': 175.0, '2014': 163.0, '2015': 165.0, '2016': 161.0, '2017': 164.0, '2018': 171.0, '2019': 176.0, '2020': 161.0}","{'2010': 42.0, '2011': 39.7, '2012': 37.5, '2013': 35.4, '2014': 33.6, '2015': 31.9, '2016': 30.4, '2017': 29.1, '2018': 27.9, '2019': 26.8, '2020': 25.8}","{'2010': nan, '2011': 5.3, '2012': 6.5, '2013': 5.2, '2014': 4.3, '2015': 4.6, '2016': 5.6, '2017': 4.9, '2018': 3.3, '2019': 1.9, '2020': 3.1}","{'2010': nan, '2011': nan, '2012': 90.1, '2013': nan, '2014': nan, '2015': nan, '2016': 95.6, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 90.89746, '2011': 88.24213, '2012': 86.63318, '2013': 86.31707, '2014': 86.31873, '2015': 87.3167, '2016': 88.81425, '2017': 90.87779, '2018': 92.85137, '2019': nan, '2020': nan}","{'2010': 33.57, '2011': 33.126, '2012': 32.685, '2013': 32.301, '2014': 31.953, '2015': 31.607, '2016': 31.262, '2017': 30.92, '2018': 30.575, '2019': 30.227, '2020': 29.877}","{'2010': nan, '2011': nan, '2012': 18.2, '2013': nan, '2014': nan, '2015': nan, '2016': 16.1, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': 3.6, '2013': nan, '2014': nan, '2015': nan, '2016': 3.4, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 2.608, '2011': 2.255, '2012': 2.066, '2013': 2.437, '2014': 2.021, '2015': 3.111, '2016': 3.498, '2017': 3.655, '2018': 3.519, '2019': 3.682, '2020': 7.903}","{'2010': nan, '2011': nan, '2012': 1.5, '2013': nan, '2014': nan, '2015': nan, '2016': 2.0, '2017': nan, '2018': nan, '2019': nan, '2020': nan}"
COL,"{'2010': 84.36, '2011': 86.07, '2012': 89.91, '2013': 95.51, '2014': 96.69, '2015': 100.66, '2016': 102.65, '2017': 99.79, '2018': 75.57, '2019': 108.22, '2020': 108.71}","{'2010': 6398.2958447102, '2011': 7400.9940695669, '2012': 8108.59838244229, '2013': 8279.10255642981, '2014': 8187.20824890084, '2015': 6248.51490534512, '2016': 5959.84250367574, '2017': 6479.53231292429, '2018': 6816.96818309544, '2019': 6472.54544924705, '2020': 5339.68711357943}","{'2010': 54.6, '2011': 53.5, '2012': 52.6, '2013': 52.6, '2014': 52.5, '2015': 51.0, '2016': 50.6, '2017': 49.7, '2018': 50.4, '2019': 51.3, '2020': 53.5}","{'2010': 15.7, '2011': 15.2, '2012': 14.8, '2013': 14.3, '2014': 13.8, '2015': 13.4, '2016': 13.0, '2017': 12.6, '2018': 12.2, '2019': 11.8, '2020': 11.4}","{'2010': 71.0, '2011': 71.0, '2012': 71.0, '2013': 70.0, '2014': 70.0, '2015': 70.0, '2016': 70.0, '2017': 71.0, '2018': 63.0, '2019': 65.0, '2020': 75.0}","{'2010': 18.4, '2011': 17.8, '2012': 17.2, '2013': 16.6, '2014': 16.1, '2015': 15.6, '2016': 15.1, '2017': 14.6, '2018': 14.2, '2019': 13.7, '2020': 13.3}","{'2010': 8.3, '2011': 6.8, '2012': 6.7, '2013': 6.1, '2014': 5.4, '2015': 4.9, '2016': 4.9, '2017': 4.3, '2018': 4.5, '2019': 5.3, '2020': 9.4}","{'2010': 97.0, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': 97.5, '2016': 97.2, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 91.85368, '2011': 91.81058, '2012': 90.2152, '2013': 90.20282, '2014': 90.46317, '2015': 91.9363, '2016': 92.99662, '2017': 93.13491, '2018': 92.91999, '2019': nan, '2020': nan}","{'2010': 22.036, '2011': 21.665, '2012': 21.299, '2013': 20.939, '2014': 20.585, '2015': 20.236, '2016': 19.892, '2017': 19.554, '2018': 19.222, '2019': 18.896, '2020': 18.575}","{'2010': 12.6, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': 12.7, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 3.4, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': 3.7, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 11.153, '2011': 10.288, '2012': 9.959, '2013': 9.246, '2014': 8.799, '2015': 8.572, '2016': 8.922, '2017': 9.086, '2018': 9.36, '2019': 10.28, '2020': 15.983}","{'2010': 0.9, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': 1.6, '2017': nan, '2018': nan, '2019': nan, '2020': nan}"
ECU,"{'2010': 99.5, '2011': 99.14, '2012': 95.51, '2013': 93.7, '2014': 101.57, '2015': 103.22, '2016': 95.2, '2017': 95.69, '2018': 94.03, '2019': 97.95, '2020': 96.47}","{'2010': 4520.30959039763, '2011': 5153.6916424375, '2012': 5634.08393191094, '2013': 6109.29031510341, '2014': 6405.79979300441, '2015': 5976.1596805651, '2016': 5917.63771271481, '2017': 6233.32244797718, '2018': 6303.91892523596, '2019': 6205.05759479761, '2020': 5463.64509649315}","{'2010': 48.8, '2011': 45.9, '2012': 46.1, '2013': 46.9, '2014': 45.0, '2015': 46.0, '2016': 45.0, '2017': 44.7, '2018': 45.4, '2019': 45.7, '2020': 47.3}","{'2010': 16.2, '2011': 15.5, '2012': 14.8, '2013': 14.2, '2014': 13.7, '2015': 13.2, '2016': 12.7, '2017': 12.4, '2018': 12.0, '2019': 11.6, '2020': 11.2}","{'2010': 76.0, '2011': 73.0, '2012': 72.0, '2013': 72.0, '2014': 65.0, '2015': 66.0, '2016': 70.0, '2017': 69.0, '2018': 71.0, '2019': 74.0, '2020': 66.0}","{'2010': 18.9, '2011': 18.0, '2012': 17.3, '2013': 16.5, '2014': 15.9, '2015': 15.3, '2016': 14.8, '2017': 14.4, '2018': 13.9, '2019': 13.5, '2020': 13.0}","{'2010': 5.7, '2011': 4.7, '2012': 4.5, '2013': 3.2, '2014': 2.6, '2015': 3.4, '2016': 3.6, '2017': 3.2, '2018': 3.3, '2019': 3.6, '2020': 6.5}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 92.62287, '2011': 91.98807, '2012': 91.67788, '2013': 91.50564, '2014': 91.35484, '2015': 91.6503, '2016': 91.66046, '2017': 91.64154, '2018': 90.94167, '2019': nan, '2020': nan}","{'2010': 37.31, '2011': 37.149, '2012': 37.012, '2013': 36.875, '2014': 36.739, '2015': 36.602, '2016': 36.466, '2017': 36.33, '2018': 36.179, '2019': 36.014, '2020': 35.834}","{'2010': nan, '2011': nan, '2012': 25.4, '2013': nan, '2014': 23.9, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 23.0, '2020': nan}","{'2010': nan, '2011': nan, '2012': 6.4, '2013': nan, '2014': 5.1, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 5.2, '2020': nan}","{'2010': 4.088, '2011': 3.458, '2012': 3.235, '2013': 3.083, '2014': 3.48, '2015': 3.616, '2016': 4.597, '2017': 3.836, '2018': 3.53, '2019': 3.812, '2020': 6.127}","{'2010': nan, '2011': nan, '2012': 2.4, '2013': nan, '2014': 1.6, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 3.7, '2020': nan}"
GHA,"{'2010': 83.94, '2011': 87.25, '2012': 92.17, '2013': 94.83, '2014': 99.06, '2015': 99.74, '2016': 101.19, '2017': 107.89, '2018': 113.03, '2019': 119.42, '2020': 122.4}","{'2010': 1263.89251760539, '2011': 1507.43573198753, '2012': 1543.77524235764, '2013': 2294.025645187, '2014': 1953.64513603117, '2015': 1721.69964380717, '2016': 1913.18673253576, '2017': 2012.97025750655, '2018': 2196.61290615342, '2019': 2186.18924111824, '2020': 2196.54789313621}","{'2010': nan, '2011': nan, '2012': 42.4, '2013': nan, '2014': nan, '2015': nan, '2016': 43.5, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 47.3, '2011': 45.5, '2012': 43.8, '2013': 42.1, '2014': 40.6, '2015': 39.2, '2016': 37.9, '2017': 36.6, '2018': 35.5, '2019': 34.4, '2020': 33.4}","{'2010': 337.0, '2011': 317.0, '2012': 305.0, '2013': 305.0, '2014': 286.0, '2015': 286.0, '2016': 258.0, '2017': 274.0, '2018': 273.0, '2019': 244.0, '2020': 263.0}","{'2010': 69.7, '2011': 66.5, '2012': 63.3, '2013': 60.4, '2014': 57.7, '2015': 55.3, '2016': 53.0, '2017': 50.9, '2018': 48.9, '2019': 47.1, '2020': 45.3}","{'2010': nan, '2011': nan, '2012': 25.7, '2013': nan, '2014': nan, '2015': nan, '2016': 25.2, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': 96.4, '2012': nan, '2013': nan, '2014': 90.5, '2015': nan, '2016': 97.5, '2017': 97.6, '2018': 97.1, '2019': 97.4, '2020': nan}","{'2010': nan, '2011': 80.58882, '2012': 79.38927, '2013': 84.93016, '2014': 86.99201, '2015': 89.28957, '2016': 86.38027, '2017': 85.1822, '2018': 84.48045, '2019': 86.15823, '2020': nan}","{'2010': 49.287, '2011': 48.606, '2012': 47.927, '2013': 47.252, '2014': 46.581, '2015': 45.914, '2016': 45.251, '2017': 44.593, '2018': 43.94, '2019': 43.293, '2020': 42.651}","{'2010': nan, '2011': 22.8, '2012': nan, '2013': nan, '2014': 18.8, '2015': nan, '2016': nan, '2017': 17.5, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': 13.4, '2012': nan, '2013': nan, '2014': 11.2, '2015': nan, '2016': nan, '2017': 12.6, '2018': nan, '2019': nan, '2020': nan}","{'2010': 5.384, '2011': 4.227, '2012': 3.141, '2013': 2.173, '2014': 4.415, '2015': 6.806, '2016': 5.232, '2017': 3.369, '2018': 3.253, '2019': 3.16, '2020': 3.313}","{'2010': nan, '2011': 6.2, '2012': nan, '2013': nan, '2014': 4.7, '2015': nan, '2016': nan, '2017': 6.8, '2018': nan, '2019': nan, '2020': nan}"
GTM,"{'2010': 75.99, '2011': 78.43, '2012': 83.64, '2013': 87.69, '2014': 96.82, '2015': 100.54, '2016': 102.64, '2017': 100.06, '2018': 103.54, '2019': 101.56, '2020': 105.99}","{'2010': 2805.25960237322, '2011': 3168.98370607705, '2012': 3286.61959336267, '2013': 3444.15971843874, '2014': 3689.14472473545, '2015': 3893.50521848131, '2016': 4060.13755621218, '2017': 4324.99607911366, '2018': 4352.94651790253, '2019': 4511.99755157656, '2020': 4477.61761796418}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': 48.3, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 28.6, '2011': 27.6, '2012': 26.5, '2013': 25.6, '2014': 24.6, '2015': 23.7, '2016': 23.0, '2017': 22.2, '2018': 21.5, '2019': 20.8, '2020': 20.1}","{'2010': 123.0, '2011': 120.0, '2012': 118.0, '2013': 109.0, '2014': 107.0, '2015': 107.0, '2016': 103.0, '2017': 95.0, '2018': 98.0, '2019': 100.0, '2020': 96.0}","{'2010': 34.8, '2011': 33.4, '2012': 32.0, '2013': 30.7, '2014': 29.5, '2015': 28.4, '2016': 27.3, '2017': 26.4, '2018': 25.4, '2019': 24.6, '2020': 23.7}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': 9.5, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': 91.3, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 95.20853, '2011': 92.72544, '2012': 89.87772, '2013': 87.41445, '2014': 85.56198, '2015': 85.21609, '2016': 84.59497, '2017': 85.58408, '2018': 86.88631, '2019': nan, '2020': nan}","{'2010': 51.597, '2011': 51.299, '2012': 51.0, '2013': 50.689, '2014': 50.366, '2015': 50.029, '2016': 49.681, '2017': 49.32, '2018': 48.946, '2019': 48.561, '2020': 48.164}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': 46.7, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': 12.4, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 3.497, '2011': 3.172, '2012': 2.765, '2013': 3.017, '2014': 2.717, '2015': 2.506, '2016': 2.583, '2017': 2.462, '2018': 2.283, '2019': 2.193, '2020': 2.955}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': 0.8, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}"
HND,"{'2010': 91.07, '2011': 97.41, '2012': 103.98, '2013': 98.43, '2014': 93.0, '2015': 100.49, '2016': 106.51, '2017': 114.45, '2018': 116.54, '2019': 115.89, '2020': 106.55}","{'2010': 1893.32722662035, '2011': 2073.66121088074, '2012': 2126.03474686503, '2013': 2081.12843527945, '2014': 2179.88171977271, '2015': 2271.20265980349, '2016': 2307.34468351082, '2017': 2413.0076562942, '2018': 2464.64241531918, '2019': 2502.32744328073, '2020': 2307.61494319511}","{'2010': 53.1, '2011': 52.6, '2012': 53.4, '2013': 50.0, '2014': 49.9, '2015': 49.2, '2016': 49.8, '2017': 49.4, '2018': 48.9, '2019': 48.2, '2020': nan}","{'2010': 20.8, '2011': 20.1, '2012': 19.4, '2013': 18.8, '2014': 18.1, '2015': 17.5, '2016': 16.9, '2017': 16.3, '2018': 15.8, '2019': 15.2, '2020': 14.7}","{'2010': 73.0, '2011': 72.0, '2012': 65.0, '2013': 65.0, '2014': 68.0, '2015': 67.0, '2016': 62.0, '2017': 64.0, '2018': 65.0, '2019': 67.0, '2020': 72.0}","{'2010': 24.6, '2011': 23.7, '2012': 22.8, '2013': 22.0, '2014': 21.2, '2015': 20.5, '2016': 19.7, '2017': 19.0, '2018': 18.4, '2019': 17.7, '2020': 17.1}","{'2010': 13.8, '2011': 14.3, '2012': 17.0, '2013': 14.6, '2014': 13.3, '2015': 13.0, '2016': 14.6, '2017': 13.9, '2018': 14.2, '2019': 12.7, '2020': nan}","{'2010': nan, '2011': nan, '2012': 96.6, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 96.1, '2020': nan}","{'2010': 84.76193, '2011': 85.94403, '2012': 82.9426, '2013': 79.47982, '2014': 79.18979, '2015': 77.96419, '2016': 79.58265, '2017': 80.09489, '2018': nan, '2019': nan, '2020': nan}","{'2010': 48.115, '2011': 47.457, '2012': 46.798, '2013': 46.142, '2014': 45.486, '2015': 44.835, '2016': 44.187, '2017': 43.543, '2018': 42.904, '2019': 42.27, '2020': 41.641}","{'2010': nan, '2011': nan, '2012': 22.6, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 18.7, '2020': nan}","{'2010': nan, '2011': nan, '2012': 7.1, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 7.1, '2020': nan}","{'2010': 4.119, '2011': 4.474, '2012': 3.755, '2013': 5.646, '2014': 7.078, '2015': 6.147, '2016': 6.727, '2017': 5.528, '2018': 5.648, '2019': 5.698, '2020': 10.982}","{'2010': nan, '2011': nan, '2012': 1.4, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 1.9, '2020': nan}"
HTI,"{'2010': 90.06, '2011': 94.96, '2012': 95.9, '2013': 100.45, '2014': 101.78, '2015': 98.91, '2016': 99.31, '2017': 94.51, '2018': 89.76, '2019': 81.32, '2020': 74.19}","{'2010': 1209.72733503094, '2011': 1312.03953552013, '2012': 1361.39396587374, '2013': 1457.83221179626, '2014': 1460.18898613914, '2015': 1411.12684746796, '2016': 1318.40268167953, '2017': 1395.23945184461, '2018': 1496.38048970156, '2019': 1352.17204191532, '2020': 1290.32538667383}","{'2010': nan, '2011': nan, '2012': 41.1, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 81.6, '2011': 57.4, '2012': 56.3, '2013': 55.1, '2014': 53.9, '2015': 52.7, '2016': 51.5, '2017': 50.2, '2018': 49.1, '2019': 47.8, '2020': 46.4}","{'2010': 403.0, '2011': 424.0, '2012': 384.0, '2013': 392.0, '2014': 389.0, '2015': 391.0, '2016': 388.0, '2017': 351.0, '2018': 359.0, '2019': 349.0, '2020': 350.0}","{'2010': 136.5, '2011': 77.1, '2012': 75.3, '2013': 73.5, '2014': 71.7, '2015': 69.7, '2016': 67.8, '2017': 65.9, '2018': 64.1, '2019': 62.2, '2020': 60.2}","{'2010': nan, '2011': nan, '2012': 29.2, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': 90.3, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': 91.0, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 52.491, '2011': 51.508, '2012': 50.523, '2013': 49.54, '2014': 48.556, '2015': 47.573, '2016': 46.604, '2017': 45.654, '2018': 44.722, '2019': 43.808, '2020': 42.912}","{'2010': nan, '2011': nan, '2012': 22.0, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': 21.9, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': 11.6, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': 9.5, '2018': nan, '2019': nan, '2020': nan}","{'2010': 15.252, '2011': 14.485, '2012': 14.1, '2013': 13.642, '2014': 13.755, '2015': 13.724, '2016': 13.852, '2017': 13.881, '2018': 13.878, '2019': 14.057, '2020': 15.546}","{'2010': nan, '2011': nan, '2012': 5.1, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': 3.7, '2018': nan, '2019': nan, '2020': nan}"
KHM,"{'2010': 74.63, '2011': 85.55, '2012': 88.4, '2013': 89.62, '2014': 96.88, '2015': 98.76, '2016': 104.36, '2017': 109.12, '2018': 111.36, '2019': 109.42, '2020': 110.34}","{'2010': 952.274616324008, '2011': 1088.98152823081, '2012': 1192.80263041673, '2013': 1305.6600972686, '2014': 1431.56396469993, '2015': 1547.32010444393, '2016': 1675.19555711109, '2017': 1826.35391688754, '2018': 2036.67377566578, '2019': 2225.87705485686, '2020': 2081.73914242939}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 37.3, '2011': 34.6, '2012': 32.2, '2013': 30.2, '2014': 28.6, '2015': 27.1, '2016': 25.9, '2017': 24.7, '2018': 23.6, '2019': 22.7, '2020': 21.9}","{'2010': 276.0, '2011': 252.0, '2012': 246.0, '2013': 229.0, '2014': 228.0, '2015': 209.0, '2016': 197.0, '2017': 204.0, '2018': 209.0, '2019': 214.0, '2020': 218.0}","{'2010': 43.8, '2011': 40.5, '2012': 37.6, '2013': 35.2, '2014': 33.3, '2015': 31.6, '2016': 30.1, '2017': 28.8, '2018': 27.5, '2019': 26.5, '2020': 25.5}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 89.1, '2011': 89.1, '2012': nan, '2013': nan, '2014': 95.3, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 93.61728, '2011': 97.51867, '2012': 97.40673, '2013': nan, '2014': 95.04806, '2015': 95.26797, '2016': 92.75899, '2017': 90.54321, '2018': 90.26554, '2019': nan, '2020': nan}","{'2010': 79.706, '2011': 79.337, '2012': 78.963, '2013': 78.585, '2014': 78.201, '2015': 77.812, '2016': 77.418, '2017': 77.02, '2018': 76.612, '2019': 76.195, '2020': 75.768}","{'2010': 39.8, '2011': nan, '2012': nan, '2013': nan, '2014': 32.4, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 28.9, '2011': nan, '2012': nan, '2013': nan, '2014': 24.1, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 0.771, '2011': 0.577, '2012': 0.496, '2013': 0.438, '2014': 0.692, '2015': 0.393, '2016': 0.716, '2017': 0.141, '2018': 0.13, '2019': 0.119, '2020': 0.172}","{'2010': 11.0, '2011': nan, '2012': nan, '2013': nan, '2014': 9.7, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}"
KIR,"{'2010': 88.08, '2011': 88.27, '2012': 89.61, '2013': 90.65, '2014': 90.44, '2015': 91.1, '2016': 118.46, '2017': 118.61, '2018': 107.5, '2019': 94.24, '2020': 94.37}","{'2010': 1522.10110213175, '2011': 1771.12894481248, '2012': 1843.55346948038, '2013': 1772.08706898092, '2014': 1736.7053011433, '2015': 1639.85274301496, '2016': 1742.66812442095, '2017': 1853.0511299437, '2018': 1912.73798131035, '2019': 1750.99750920482, '2020': 1769.43211760217}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 27.8, '2020': nan}","{'2010': 45.3, '2011': 45.0, '2012': 44.9, '2013': 45.0, '2014': 45.3, '2015': 45.7, '2016': 46.1, '2017': 46.3, '2018': 46.4, '2019': 46.1, '2020': 45.5}","{'2010': 131.0, '2011': 129.0, '2012': 131.0, '2013': 119.0, '2014': 120.0, '2015': 121.0, '2016': 117.0, '2017': 112.0, '2018': 110.0, '2019': 108.0, '2020': 76.0}","{'2010': 58.4, '2011': 58.0, '2012': 57.9, '2013': 58.0, '2014': 58.4, '2015': 59.0, '2016': 59.6, '2017': 60.0, '2018': 60.1, '2019': 59.7, '2020': 58.8}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 1.7, '2020': nan}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': 89.2, '2020': nan}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': 97.4324, '2015': 95.76556, '2016': 97.47591, '2017': 94.69278, '2018': nan, '2019': nan, '2020': nan}","{'2010': 52.61, '2011': 51.765, '2012': 50.918, '2013': 50.073, '2014': 49.227, '2015': 48.381, '2016': 47.55, '2017': 46.738, '2018': 45.943, '2019': 45.165, '2020': 44.406}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': 15.2, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': 6.9, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': nan, '2015': nan, '2016': nan, '2017': nan, '2018': 3.5, '2019': nan, '2020': nan}"
LIB,"{'2010': 88.49, '2011': 91.39, '2012': 93.77, '2013': 90.39, '2014': 92.45, '2015': 96.64, '2016': 110.91, '2017': 92.63, '2018': 94.53, '2019': 97.46, '2020': 100.6}","{'2010': 492.252808033724, '2011': 568.087865520004, '2012': 638.368751462083, '2013': 710.744570927863, '2014': 706.714490064507, '2015': 692.590082351257, '2016': 714.613063145659, '2017': 699.269095727404, '2018': 692.203127129794, '2019': 658.164180770507, '2020': 616.787867006715}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': 33.2, '2015': nan, '2016': 35.3, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': 71.7, '2011': 69.8, '2012': 68.1, '2013': 66.7, '2014': 67.6, '2015': 64.5, '2016': 63.1, '2017': 62.0, '2018': 60.7, '2019': 59.3, '2020': 57.8}","{'2010': 634.0, '2011': 644.0, '2012': 644.0, '2013': 632.0, '2014': 776.0, '2015': 686.0, '2016': 628.0, '2017': 661.0, '2018': 684.0, '2019': 668.0, '2020': 652.0}","{'2010': 99.6, '2011': 96.6, '2012': 94.0, '2013': 91.7, '2014': 91.9, '2015': 88.1, '2016': 86.0, '2017': 84.3, '2018': 82.3, '2019': 80.0, '2020': 77.7}","{'2010': nan, '2011': nan, '2012': nan, '2013': nan, '2014': 25.9, '2015': nan, '2016': 27.6, '2017': nan, '2018': nan, '2019': nan, '2020': nan}","{'2010': nan, '2011': 95.4, '2012': nan, '2013': 95.9, '2014': nan, '2015': nan, '2016': 97.9, '2017': nan, '2018': nan, '2019': nan, '2020': 97.8}","{'2010': nan, '2011': 40.78992, '2012': nan, '2013': nan, '2014': 38.38889, '2015': nan, '2016': nan, '2017': 44.25563, '2018': nan, '2019': nan, '2020': nan}","{'2010': 52.187, '2011': 51.807, '2012': 51.417, '2013': 51.015, '2014': 50.603, '2015': 50.18, '2016': 49.746, '2017': 49.303, '2018': 48.849, '2019': 48.385, '2020': 47.911}","{'2010': 39.0, '2011': nan, '2012': nan, '2013': 32.1, '2014': nan, '2015': nan, '2016': 30.1, '2017': nan, '2018': nan, '2019': 29.8, '2020': nan}","{'2010': 16.6, '2011': nan, '2012': nan, '2013': 15.3, '2014': nan, '2015': nan, '2016': 13.6, '2017': nan, '2018': nan, '2019': 10.9, '2020': nan}","{'2010': 2.266, '2011': 2.211, '2012': 2.146, '2013': 2.08, '2014': 2.079, '2015': 2.557, '2016': 3.081, '2017': 3.066, '2018': 3.056, '2019': 3.068, '2020': 4.109}","{'2010': 4.0, '2011': nan, '2012': nan, '2013': 5.6, '2014': nan, '2015': nan, '2016': 4.3, '2017': nan, '2018': nan, '2019': 3.4, '2020': nan}"
